SOURCE	TARGET	WEIGHT	WEIGHT*100000
à	paris	0.000613941	61.39411438
mise	à	0.000227892	22.78918636
à	prix	0.000225575	22.55751045
à	faire	0.000219938	21.99376576
après	avoir	0.000218857	21.88565033
hier	à	0.000189125	18.91247624
courant	à	0.000169355	16.93550853
paris	à	0.000168274	16.82739311
crédit	foncier	0.000163563	16.35631877
mai	à	0.000159007	15.9006895
à	heures	0.000158621	15.86207685
hier	soir	0.000156767	15.67673613
à	dito	0.000135222	13.52215022
même	temps	0.000133291	13.32908697
lieu	à	0.000131437	13.14374625
conseil	municipal	0.000127345	12.73445215
mars	à	0.000125568	12.55683396
grand	nombre	0.000123329	12.33288059
matin	à	0.000115375	11.53745999
à	francs	0.00011522	11.52201493
moment	où	0.000106185	10.6184789
à	peine	0.000105799	10.57986625
à	berlin	0.000103636	10.36363541
doit	être	0.000102246	10.22462987
paris	rue	9.82E-05	9.815335771
à	circulation	9.11E-05	9.112585531
avril	mai	9.00E-05	9.004470109
à	partir	8.83E-05	8.826851917
à	terme	8.78E-05	8.780516736
conseil	général	8.53E-05	8.533395773
soir	à	8.50E-05	8.502505652
mars	avril	8.49E-05	8.494783122
peut	être	8.40E-05	8.402112761
mai	juin	8.27E-05	8.270829749
grâce	à	8.25E-05	8.247662158
affaires	étrangères	7.95E-05	7.954206014
à	sacs	7.95E-05	7.946483484
avoué	à	7.88E-05	7.884703243
tendant	à	7.88E-05	7.884703243
à	londres	7.43E-05	7.429073967
à	propos	7.33E-05	7.328681075
juin	juillet	7.17E-05	7.174230473
à	après	7.17E-05	7.174230473
ventes	courant	7.07E-05	7.066115051
à	courant	7.04E-05	7.042947461
heures	à	6.91E-05	6.911664449
jeune	fille	6.84E-05	6.842161678
juillet	août	6.70E-05	6.695433606
pari	mutuel	6.67E-05	6.672266016
jeune	homme	6.61E-05	6.610485775
à	prendre	6.50E-05	6.502370353
bureaux	boulevard	6.49E-05	6.486925293
à	être	6.43E-05	6.425145052
avril	à	6.42E-05	6.417422522
italiens	paris	6.39E-05	6.386532402
première	fois	6.37E-05	6.371087342
jeunes	gens	6.36E-05	6.363364811
à	vienne	6.28E-05	6.27841698
à	coup	6.26E-05	6.26297192
à	cause	6.24E-05	6.23980433
télégraphique	temps	6.23E-05	6.2320818
adresse	télégraphique	6.18E-05	6.178024089
jour	où	6.00E-05	6.000405896
mis	à	5.89E-05	5.892290475
à	travers	5.86E-05	5.861400354
vendu	sacs	5.79E-05	5.791897583
à	côté	5.78E-05	5.784175053
travaux	publics	5.68E-05	5.683782162
marché	ventes	5.66E-05	5.660614571
part	à	5.66E-05	5.660614571
paris	adresse	5.64E-05	5.637446981
