SOURCE	TARGET	WEIGHT
à	paris	0.000613941143818
mise	à	0.000227891863573
à	prix	0.00022557510454
à	faire	0.000219937657559
après	avoir	0.000218856503343
hier	à	0.000189124762416
courant	à	0.000169355085332
paris	à	0.000168273931117
crédit	foncier	0.000163563187749
mai	à	0.000159006894984
à	heures	0.000158620768478
hier	soir	0.000156767361252
à	dito	0.000135221502242
même	temps	0.000133290869714
lieu	à	0.000131437462488
conseil	municipal	0.000127344521529
mars	à	0.000125568339604
grand	nombre	0.000123328805871
matin	à	0.000115374599857
à	francs	0.000115220149255
moment	où	0.000106184789025
à	peine	0.00010579866252
à	berlin	0.000103636354089
doit	être	0.000102246298669
paris	rue	9.81533577098e-05
à	circulation	9.11258553088e-05
avril	mai	9.00447010933e-05
à	partir	8.82685191678e-05
à	terme	8.78051673611e-05
conseil	général	8.53339577256e-05
soir	à	8.50250565212e-05
mars	avril	8.49478312201e-05
peut	être	8.40211276068e-05
mai	juin	8.27082974879e-05
grâce	à	8.24766215846e-05
affaires	étrangères	7.95420601424e-05
à	sacs	7.94648348413e-05
avoué	à	7.88470324325e-05
tendant	à	7.88470324325e-05
à	londres	7.4290739667e-05
à	propos	7.32868107526e-05
juin	juillet	7.17423047304e-05
à	après	7.17423047304e-05
ventes	courant	7.06611505149e-05
à	courant	7.04294746116e-05
heures	à	6.91166444927e-05
jeune	fille	6.84216167827e-05
juillet	août	6.69543360617e-05
pari	mutuel	6.67226601583e-05
jeune	homme	6.61048577495e-05
à	prendre	6.50237035339e-05
bureaux	boulevard	6.48692529317e-05
à	être	6.42514505228e-05
avril	à	6.41742252217e-05
italiens	paris	6.38653240173e-05
première	fois	6.37108734151e-05
jeunes	gens	6.3633648114e-05
à	vienne	6.27841698018e-05
à	coup	6.26297191995e-05
à	cause	6.23980432962e-05
télégraphique	temps	6.23208179951e-05
adresse	télégraphique	6.17802408873e-05
jour	où	6.00040589618e-05
mis	à	5.89229047463e-05
à	travers	5.86140035419e-05
vendu	sacs	5.79189758319e-05
à	côté	5.78417505308e-05
travaux	publics	5.68378216164e-05
marché	ventes	5.6606145713e-05
part	à	5.6606145713e-05
paris	adresse	5.63744698097e-05
ventes	marché	5.56022167986e-05
temps	paris	5.55249914975e-05
notaire	à	5.48299637875e-05
derniers	à	5.35171336687e-05
abonnements	datent	5.32082324642e-05
francs	à	5.26676553565e-05
à	donner	5.25904300553e-05
france	à	5.2358754152e-05
conseil	supérieur	5.17409517431e-05
banque	ottomane	5.13548252376e-05
